Erie County High School Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://data.nysed.gov/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Grd 10 English,,,,,,,,,,,,,,,,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,%,#,%,#,%,#,#,#,#,#,#,#,#,#
School Name,School District,Grades Served,Address,Enrollment ,Male,Female,American Indian/Native,Black,Hispanic/Latino,Asian,White,Multiracial,Limited English Proficiency,Students with Disabilities,Econ Dis Students,Avg. Class Size,Free Lunch,Reduced Lunch,Attendance Rate,All 2008 Cohort,4-yr Grad Rate (All 2008 Cohort),Econ Dis 2008 Cohort,4-yr Grad Rate (Econ Dis 2008 Cohort),Completers,Dropped-Out,HS Equivalency,Total Non-Completers,Four-Year,Two-Year,Other Post-Sec,Military,Employment
Pine Hill Education Center,Cheektowaga,6 - 12,"1635 Delevan Ave., Buffalo, NY 14215",75,52,23,1,36,2,0,34,2,-,34,54,-,49,6,79,19,-,8,-,20,7,0,7,3,12,0,1,3
Cheektowaga High School,Cheektowaga,9 - 12,"3600 Union Rd., Cheektowaga, NY 14225",683,356,327,2,194,19,34,423,11,7,84,351,20,265,84,92,157,85,74,80,158,5,0,5,54,78,2,4,20
Maryvale High School,Cheektowaga-Maryvale,9 - 12,"1050 Maryvale Dr., Cheektowaga, NY 14225",681,339,342,2,47,7,21,599,5,7,79,238,23,140,52,92,208,87,65,82,160,11,11,22,72,48,0,5,25
John F Kennedy Senior High School,Cheektowaga-Sloan,9 - 12,"305 Cayuga Creek Rd., Cheektowaga, NY 14227",467,234,233,3,13,6,7,438,0,-,76,250,21,153,87,93,129,87,53,81,120,13,0,13,29,64,0,2,24
Clarence Senior High School,Clarence,9 - 12,"9625 Main St., Clarence, NY 14031",1613,791,822,6,20,20,44,1521,2,-,222,149,23,88,63,94,396,95,27,-,405,12,0,12,276,95,2,6,22
Cleveland Hill High School,Cleveland Hill,9 - 12,"105 Mapleview Rd., Cheektowaga, NY 14225",433,216,217,0,149,23,7,244,10,-,63,175,23,136,50,95,113,94,50,94,105,-,-,-,57,30,5,4,7
Depew High School,Depew,9 - 12,"5201 S. Transit Rd., Depew, NY 14043",611,302,309,0,15,9,9,573,5,-,66,221,22,145,88,94,173,89,57,91,152,17,0,17,83,43,1,2,23
East Aurora High School,East Aurora ,9 - 12,"1003 Center St., East Aurora, NY 14052",669,313,356,1,7,9,4,645,3,-,34,51,22,43,11,96,171,99,11,-,190,-,-,-,136,35,1,0,12
Eden Junior-Senior High School,Eden,7 - 12,"3150 Schoolview Rd., Eden, NY 14057",801,431,370,2,5,13,5,775,1,-,110,137,19,75,33,96,142,97,22,-,139,8,0,8,74,35,2,4,24
Lake Shore Senior High School,Evans-Brant,9 - 12,"959 Beach Rd., Angola, NY 14006",850,422,428,105,18,14,5,707,1,-,118,318,23,238,63,93,226,92,92,90,195,22,0,22,79,47,0,3,64
Frontier Senior High School,Frontier,9 - 12,"S 4432 Bay View Rd., Hamburg, NY 14075",1630,811,819,6,21,54,12,1518,19,-,223,486,25,203,179,94,427,89,108,84,357,12,6,18,174,123,3,16,22
Grand Island Senior High School,Grand Island,9 - 12,"1100 Ransom Rd., Grand Island, NY 14072",1040,520,520,3,14,30,32,940,21,9,129,218,23,113,72,94,264,92,52,83,253,11,0,11,135,78,0,14,16
Hamburg High School,Hamburg,9 - 12,"4111 Legion Dr., Hamburg, NY 14075",1162,602,560,6,11,19,9,1111,6,-,153,180,20,203,86,96,308,95,32,91,265,18,0,18,165,66,1,9,22
Holland Junior/Senior High School,Holland,7 - 12,"103 Canada St., Holland, NY 14080",461,229,232,0,4,2,2,453,0,-,45,82,18,76,23,96,77,92,13,-,80,-,-,-,42,26,1,2,9
Iroquois Senior High School,Iroquois,9 - 12,"2111 Girdle Rd., Elma NY, 14059",895,457,438,4,4,11,9,854,13,-,110,107,23,30,36,96,225,96,22,-,232,-,-,-,118,74,7,8,16
Kenmore East Senior High School ,Kenmore-Tonawanda,9 - 12,"350 Fries Rd., Tonawanda, NY 14150",982,493,489,10,48,27,11,874,12,16,186,313,20,199,86,94,280,87,63,76,233,16,12,28,98,88,3,12,12
Kenmore West Senior High School,Kenmore-Tonawanda,9 - 12,"33 Highland Pky., Buffalo, NY 14223",1362,686,676,9,93,60,21,1162,17,15,260,484,17,319,124,93,340,85,104,84,297,8,35,43,144,108,7,5,21
Lackawanna High School,Lackawanna,9 - 12 ,"550 Martin Rd., Lackawanna, NY 14218",524,289,235,0,105,55,5,357,2,40,91,399,19,409,81,88,184,66,135,65,143,27,1,28,43,77,3,7,4
Lancaster High School,Lancaster,9 - 12,"1 Forton Dr., Lancaster, NY 14086",1977,958,1019,6,25,27,17,1892,10,-,303,229,25,250,130,96,505,98,77,95,503,-,-,-,267,167,1,14,39
North Collins Junior-Senior High School,North Collins,7 - 12,"2045 School St., North Collins, NY 14111",275,120,155,4,6,17,0,247,1,-,40,94,16,67,20,96,51,98,10,-,40,-,-,-,27,9,0,0,4
Orchard Park High School,Orchard Park,9 - 12,"4040 Baker Rd., Orchard Park, NY 14127",1582,814,768,6,24,13,23,1514,2,-,164,108,24,67,22,96,404,97,19,-,390,6,0,6,257,101,4,6,13
Griffith Institute High School ,Springville-Grif. Inst.,9 - 12,"290 N. Buffalo St., Springville, NY 14141",649,306,343,7,1,4,7,619,11,-,69,134,20,87,41,94,166,89,23,-,159,9,1,10,65,57,4,5,25
Sweet Home Senior High School,Sweet Home,9 - 12,"1901 Sweet Home Rd., Amherst, NY 14228",1100,563,537,4,199,48,55,789,5,18,92,398,21,355,93,90,336,93,97,91,289,12,1,13,154,95,1,9,13
