,,,,,,,,,,,,,,,,,,,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,%,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#
School Name,School District,Grades Served,Address,Enrollment ,Male,Female,American Indian/Native,Black,Hispanic/Latino,Asian,White,Multiracial,Limited English Proficiency,Students with Disabilities,Econ Dis Students,Avg. Class Size,Free Lunch,Reduced Lunch,Attendance Rate,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested
Community School #53 at #4,Buffalo,PK - 8,"425 S. Park Ave., Buffalo, NY 14220",386,195,191,1,329,27,1,23,5,-,77,366,24,338,9,90,4,49,11,19,0,30,4,49,4,49,-,46,-,3,0,0,-,47,-,2,0,0,0,0,0,0,0,48,0,19,0,29,0,48,0,48,-,46,-,2,0,0,-,46,-,2,0,0,0,0,0,0
D'Youville-Porter Campus,Buffalo,PK - 8,"255 Porter Ave., Buffalo, NY 14201",642,301,341,5,131,421,29,42,14,177,110,575,26,515,26,91,8,53,10,29,4,24,9,47,8,53,9,45,0,8,-,1,8,13,9,34,-,1,-,4,0,0,2,53,0,29,4,24,2,47,2,53,2,45,0,8,-,1,0,13,3,34,-,1,-,4,0,0
Discovery School,Buffalo,PK - 8,"911 Abbott Rd., Buffalo, NY 14220",531,257,274,6,42,43,3,424,13,-,101,226,27,201,36,95,42,55,48,25,37,30,42,55,42,55,46,24,39,31,0,0,-,5,-,2,-,1,41,46,-,1,11,55,12,25,10,30,11,55,11,55,8,24,13,31,0,0,-,5,-,2,-,1,13,46,-,1
Dr. A. Pantoja Comm. Sch. of Acad. Excel. at #77,Buffalo,PK - 8,"750 West Ave., Buffalo, NY 14213",474,249,225,2,170,131,116,42,13,180,95,438,24,400,11,92,8,62,10,30,6,32,11,45,8,62,8,52,10,10,0,0,5,21,14,22,8,13,0,6,0,0,9,65,13,30,6,35,11,45,9,65,9,55,10,10,0,0,0,21,9,22,20,15,14,7,0,0
Dr. L. T. Wright Sch. of Excel.,Buffalo,PK - 8,"106 Appenheimer St., Buffalo, NY 14214",703,323,380,1,649,27,0,18,8,-,121,623,24,555,51,92,4,105,7,58,0,47,4,105,4,105,5,88,0,17,0,0,4,99,-,3,0,0,-,3,0,0,3,106,5,57,0,49,3,106,3,106,3,88,0,18,0,0,3,100,-,3,0,0,-,3,0,0
Dr. MLKJ Multicultural Institute,Buffalo,PK - 8,"487 High St., Buffalo, NY 14211",618,301,317,4,576,20,2,8,8,5,153,588,20,540,17,92,4,74,3,35,5,39,4,74,4,74,-,70,-,4,-,1,4,69,-,1,0,0,0,0,-,3,0,75,0,35,0,40,0,75,0,75,-,71,-,4,-,1,0,70,-,1,0,0,0,0,-,3
Frank A. Sedita School #30,Buffalo,PK - 8,"21 Lowell Pl., Buffalo, NY 14213",728,377,351,6,124,513,34,39,12,278,138,702,25,679,7,91,8,75,8,37,8,38,13,45,8,75,-,71,-,4,-,1,0,15,7,45,-,4,10,10,0,0,0,9,0,39,0,40,0,44,0,79,0,73,0,6,-,1,0,15,0,49,-,4,0,10,0,0
Frederick Olmstead #156,Buffalo,5 - 12,"319 Suffolk, Buffalo, NY 14215",589,286,303,8,295,59,30,186,11,7,91,321,24,260,42,93,38,86,49,37,31,49,38,86,38,86,36,50,42,36,-,3,27,48,50,10,-,1,48,21,-,3,8,84,3,35,12,49,8,84,8,84,8,50,9,34,-,3,9,45,0,11,-,1,10,21,-,3
Grabiarz-Campus School #79,Buffalo,PK - 8 ,"225 Lawn Ave., Buffalo, NY 14207",508,251,257,10,214,117,8,136,23,-,135,475,23,447,26,91,11,74,14,36,8,38,11,74,11,74,11,64,10,10,-,1,13,31,-,15,-,1,4,24,-,2,1,74,0,36,3,38,1,74,1,74,2,64,0,10,-,1,0,31,-,15,-,1,4,24,-,2
Harriet Ross Tubman Academy,Buffalo,PK - 8,"212 Stanton St., Buffalo, NY 14212",450,233,217,2,372,21,2,37,16,-,124,424,23,398,7,90,0,55,0,30,0,25,0,55,0,55,0,50,0,5,0,0,0,47,-,1,0,0,-,7,0,0,0,54,0,29,0,25,0,54,0,54,0,49,0,5,0,0,0,46,-,1,0,0,-,7,0,0
