,,,,,,,,,,,,,,,,,,,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,%,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#
School Name,School District,Grades Served,Address,Enrollment ,Male,Female,American Indian/Native,Black,Hispanic/Latino,Asian,White,Multiracial,Limited English Proficiency,Students with Disabilities,Econ Dis Students,Avg. Class Size,Free Lunch,Reduced Lunch,Attendance Rate,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,ELA 8 Proficiency,ELA 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested,Math 8 Proficiency,Math 8 Tested
Veronica E Connor Middle School,Grand Island,6 - 8,"1100 Ransom Rd., Grand Island, NY 14072",745,367,378,4,15,21,18,668,19,8,97,149,24,75,45,96,49,255,55,129,43,126,-,253,49,255,33,49,53,206,-,1,-,4,-,4,43,7,51,230,44,9,40,253,40,128,40,125,-,251,40,253,25,48,43,205,-,1,-,4,-,4,43,7,42,228,11,9
Hamburg Middle School,Hamburg,6 - 8,"360 Division St., Hamburg, NY 14075",911,481,430,2,2,15,9,873,10,-,143,156,22,102,49,96,52,254,60,11,45,143,52,254,52,254,19,31,56,223,0,0,-,3,-,4,-,2,52,243,-,2,43,225,44,102,42,123,43,225,43,225,28,25,45,200,0,0,-,2,-,4,-,2,44,215,-,2
Holland Junior/Senior High School,Holland,7 - 12,"103 Canada St., Holland, NY 14080",461,229,232,0,4,2,,453,0,-,45,82,19,76,23,96,49,77,53,36,46,41,49,77,49,77,25,16,56,61,-,-,-,2,-,-,-,1,-,74,-,-,35,77,36,36,34,41,35,77,35,7,25,16,38,61,-,-,-,2,0,0,-,1,-,74,-,-
Holland Middle School,Holland,5 - 8,"11720 Partridge Rd.,  Holland, NY 14080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iroquois Middle School,Iroquois,6 - 8,"2111 Girdle Rd., Elma, NY 14059",621,306,315,4,4,11,6,592,4,-,93,65,22,41,22,97,55,204,60,98,51,106,-,202,55,204,53,17,56,187,0,0,-,2,-,3,-,2,56,196,-,1,45,205,46,99,43,106,-,203,45,205,35,17,46,188,0,0,-,2,-,3,-,2,46,197,-,1
Ben Franklin Middle School,Kenmore-Tonawanda,6 - 8,"540 Parkhurst Blvd., Buffalo, NY 14223",496,254,242,4,32,21,5,427,7,6,105,236,26,154,3,95,37,162,39,76,35,86,-,161,37,162,28,81,46,81,-,1,10,10,33,6,-,3,40,141,-,1,28,161,28,75,28,86,-,161,28,161,25,81,31,80,-,1,10,10,33,6,-,3,29,140,-,1
Herbert Hoover Middle School,Kenmore-Tonawanda,6 - 8,"249 Thorncliff Rd., Buffalo, NY 14223",630,297,333,5,39,39,6,528,13,7,111,239,19,180,62,95,42,223,47,113,36,110,-,219,42,223,28,75,49,148,-,3,14,14,14,14,0,0,45,190,-,2,32,222,30,112,33,110,-,218,32,222,19,75,38,147,-,3,7,14,0,14,0,0,35,189,-,2
Kenmore Middle School,Kenmore-Tonawanda,6 - 8,"155 Delaware Rd., Kenmore NY 14217",624,335,289,11,40,30,5,526,12,6,99,240,24,162,75,96,34,212,38,103,30,109,-,209,34,212,22,88,43,124,-,3,31,16,23,13,-,4,36,173,-,3,25,207,26,97,24,110,-,204,25,207,16,86,31,121,-,2,6,16,8,13,-,4,28,169,-,3
Lackawanna Middle School,Lackawanna,7 - 8,"550 Martin Rd., Lackawanna, NY 14218",257,140,117,1,48,33,0,175,0,35,57,203,21,182,30,92,24,109,27,55,20,54,26,101,24,109,17,88,52,21,-,1,5,22,-,8,0,0,32,78,-,-,10,113,5,56,14,57,11,103,10,113,5,91,27,22,-,1,0,23,-,9,0,0,14,80,-,-
Lancaster Middle School,Lancaster,7 - 8,"148 Aurora St., Lancaster, NY 14086",974,500,474,5,10,18,9,924,8,-,142,133,22,134,68,96,50,459,58,224,42,235,50,459,50,459,34,68,53,391,-,2,43,7,33,9,0,5,51,431,-,5,38,456,39,222,38,234,38,456,38,456,18,67,42,389,-,2,29,7,11,9,20,5,39,428,-,5
North Collins Junior-Senior High School,North Collins,7 - 12,"2045 School St., North Collins, NY 14111",275,120,155,4,6,17,0,247,1,-,40,94,11,67,20,96,,36,36,22,21,14,31,36,31,36,20,15,38,21,0,0,0,0,-,4,-,-,-,32,-,-,19,36,14,22,29,14,19,36,19,36,7,15,29,21,0,0,,0,-,,-,-,-,32,-,-
Orchard Park Middle School,Orchard Park,6 - 10,"60 S. Lincoln Ave., Orchard Park, NY 14127",1244,657,87,9,15,21,13,1179,7,-,162,106,26,68,29,97,58,413,64,179,54,234,-,412,59,413,37,30,60,383,-,2,0,8,-,4,-,2,60,394,-,3,43,411,43,78,44,233,-,410,43,411,30,30,44,381,-,2,13,8,-,,-,2,44,392,-,3
Griffith Institute Middle School ,Springville-Grif. Inst.,6 - 8,"267 Newman St., Springville, NY 14141",462,238,224,5,3,13,3,428,10,-,44,156,24,104,53,96,32,115,49,51,32,64,32,115,,115,18,40,40,75,-,-,-,2,-,6,0,0,34,107,0,0,30,87,31,36,29,51,30,87,30,87,18,8,36,59,-,-,-,2,-,5,0,0,33,80,0,0
Sweet Home Middle School,Sweet Home,6 - 8,"4150 Maple Rd., Amherst, NY 14226",775,409,366,0,167,38,27,539,4,12,64,297,21,260,67,95,42,254,49,124,35,130,-,250,42,254,30,79,47,175,-,-,27,59,0,11,-,8,49,174,-,2,30,255,27,125,32,130,-,251,30,255,18,79,35,146,-,-,19,59,0,11,-,8,34,175,-,2
Tonawanda Middle/High School,Tonawanda,6 - 12,"600 Fletcher St., Tonawanda, NY 14150",948,480,468,6,18,24,6,878,16,-,126,367,21,293,106,94,41,130,41,61,41,69,-,129,41,130,29,52,49,78,-,2,-,1,-,4,0,0,41,123,0,0,29,130,28,61,30,69,-,129,29,130,19,52,36,78,-,2,-,,-,4,0,0,31,123,0,0
East Middle School,West Seneca,7 - 8,"1445 Center Rd., West Seneca, NY 14224",505,272,233,5,16,19,3,458,,-,68,178,22,101,54,96,41,222,46,103,38,119,41,222,41,222,28,79,49,143,-,1,0,9,17,6,-,2,44,201,-,3,30,218,27,100,33,118,30,218,30,218,20,80,36,138,-,1,0,9,17,6,-,1,32,198,-,3
West Middle School,West Seneca,7 - 8,"395 Center Rd., West Seneca, NY 14224",614,319,295,2,14,19,3,574,2,-,80,214,25,142,60,88,33,301,38,151,28,150,33,301,33,301,20,102,40,199,-,2,-,6,9,11,0,0,35,281,-,1,28,304,30,154,25,150,28,304,28,304,16,105,34,199,-,2,-,7,9,11,0,0,29,283,-,1
Casey Middle School,Williamsville,5 - 8,"105 Casey Rd., East Amherst, NY 14051",701,358,343,0,23,18,59,577,24,8,83,94,24,63,29,98,64,165,64,84,64,81,-,163,64,165,37,19,68,146,0,0,25,8,-,7,55,11,69,138,-,1,60,166,61,84,59,82,-,163,60,166,25,20,64,146,0,0,-,8,25,8,73,11,64,137,-,2
Heim Middle School,Williamsville,5 - 8,"175 Heim Rd., Williamsville, NY 14221",651,346,305,3,19,20,52,541,16,7,76,85,25,62,16,97,59,161,58,73,60,88,59,161,59,161,36,25,63,136,-,1,29,7,-,5,75,12,60,127,44,9,58,161,59,73,57,88,58,161,58,161,40,25,61,136,-,1,29,7,-,5,75,12,58,127,44,9
Mill Middle School,Williamsville,5 - 8 ,"505 Mill St., Williamsville, NY 14221",896,449,447,1,46,43,42,730,34,7,107,125,24,65,36,97,59,213,67,94,52,119,-,212,59,213,23,31,65,182,0,0,29,17,38,8,78,9,61,170,67,9,66,209,73,90,60,119,-,208,66,209,29,31,72,178,0,0,38,16,56,9,89,9,67,166,67,9
Transit Middle School,Williamsville,5 - 8,"8730 Transit Rd., East Amherst, NY 14051",1012,513,499,6,22,29,145,784,26,13,92,90,27,64,21,97,66,260,71,132,61,128,-,257,66,260,37,30,70,230,-,1,40,10,73,11,76,34,66,198,-,6,70,259,71,131,69,128,-,256,70,259,40,30,74,229,-,1,40,10,64,11,91,34,68,197,-,6
Buffalo Academy of Science Charter School,Charter,7 - 12,"190 Franklin St., Buffalo, NY 14202",404,74,230,0,332,19,13,40,0,14,41,359,18,220,110,93,15,48,15,27,14,21,15,48,15,48,12,43,40,5,-,-,13,40,-,1,-,1,-,6,-,-,19,48,19,27,19,21,19,48,19,48,21,43,0,5,-,-,20,40,-,1,-,1,-,6,-,-
Buffalo United Charter School,Charter,K - 8,"325 Manhattan Ave., Buffalo, NY 14214",643,333,310,1,588,40,2,12,0,-,93,592,24,542,47,97,4,75,5,38,3,37,4,75,4,75,3,69,17,6,-,-,-,71,-,4,-,-,-,-,-,-,24,75,26,38,22,37,24,75,24,75,23,69,33,6,-,-,-,71,-,4,-,-,-,-,-,-
Charter School for Applied Technologies,Charter,K - 12,"2303 Kenmore Ave., Buffalo, NY 14207",1670,799,871,4,507,485,14,545,115,59,198,1395,27,72,250,93,12,130,14,70,10,60,-,126,12,130,12,110,15,20,0,0,4,45,11,27,-,-,19,52,17,6,19,128,19,68,18,60,-,124,19,28,19,108,20,20,0,0,11,44,15,27,-,-,27,51,17,6
Elmwood Village Charter School,Charter ,K - 8," 40 Days Park, Buffalo, NY 14201",298,150,148,7,67,49,40,143,22,6,38,122,26,92,33,94,30,23,27,11,33,12,30,23,30,23,22,9,36,14,-,1,11,9,-,3,-,1,38,8,-,1,52,23,64,11,42,12,52,23,52,23,33,9,64,14,-,1,22,9,-,3,-,1,88,8,-,1
Enterprise Charter School,Charter,K - 8,"275 Oak St., Buffalo, NY 14203",404,196,208,2,224,141,15,14,8,40,60,389,23,342,37,91,8,39,9,22,6,17,-,38,8,39,-,38,-,1,-,1,11,27,-,9,-,1,-,1,-,-,8,40,9,22,6,18,-,38,8,40,-,39,-,1,-,1,7,27,-,10,-,1,-,1,-,-
Global Concepts Charter School,Charter,K - 10,"1001 Ridge Rd., Lackawanna, NY 14218",848,380,468,0,187,84,11,558,8,74,42,699,25,719,42,98,29,68,35,37,23,31,29,68,27,63,60,5,-,-,47,15,-,13,-,2,-,2,26,38,-,-,21,70,26,39,16,31,-,68,21,70,22,64,17,6,-,-,19,16,-,13,-,2,23,39,-,-
Pinnacle Charter School,Charter ,K - 8,"115 Ash St., Buffalo, NY 14204",550,271,279,0,470,55,3,6,16,-,83,514,20,557,0,94,9,45,10,21,8,24,9,45,9,45,-,3,-,2,0,0,8,38,-,3,-,-,-,2,-,2,4,45,5,21,4,24,4,45,4,45,-,43,-,2,0,0,3,38,-,3,-,-,-,2,-,2
South Buffalo Charter School,Charter,K - 8,"2219 S. Park Ave., Buffalo, NY 14220",673,322,351,10,166,118,8,370,1,6,93,526,22,675,0,94,19,70,17,36,21,34,19,70,19,70,20,54,13,16,-,1,9,23,25,12,-,4,23,30,-,-,10,72,8,38,12,34,10,72,10,72,9,56,13,16,-,1,4,24,17,12,-,4,10,31,-,-
Tapestry Charter School,Charter,K - 12,"65 Great Arrow Ave., Buffalo, NY 14216",735,347,388,0,380,61,7,261,26,11,101,465,26,348,111,94,32,25,40,10,27,15,32,25,32,25,35,17,25,8,-,-,23,13,40,5,-,-,43,7,-,-,12,25,10,10,13,15,12,25,12,25,12,17,13,8,-,-,0,13,40,5,-,-,14,7,-,-
Westminster Community Charter School,Charter,K - 8,"24 Westminster Ave., Buffalo, NY 14215",552,269,283,0,537,2,3,1,9,-,61,360,22,431,60,96,5,55,4,28,7,27,5,55,5,55,7,46,0,9,-,-,5,5,0,0,-,-,-,-,0,0,9,55,11,28,7,27,9,55,9,5,7,46,22,9,-,-,9,55,0,0,-,-,-,-,0,0
