,,,,,,,,,,,,,,,,,,,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,,Total,,Female,,Male,,English Proficient,,Non-Migrant,,Econ Dis,,Not Econ Dis,,American Indian,,Black,,Hispanic/Latino,,Asian,,White,,Multiracial,
,,,,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,%,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#,% Proficient,#
School Name,School District,Grades Served,Address,Enrollment ,Male,Female,American Indian/Native,Black,Hispanic/Latino,Asian,White,Multiracial,Limited English Proficiency,Students with Disabilities,Econ Dis Students,Avg. Class Size,Free Lunch,Reduced Lunch,Attendance Rate,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,ELA 3 Proficiency,ELA 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested,Math 3 Proficiency,Math 3 Tested
Discovery School,Buffalo,PK - 8,"911 Abbott Rd., Buffalo, NY 14220",531,257,274,6,42,43,3,424,13,-,101,226,27,201,36,95,30,64,34,38,23,26,30,64,30,64,21,28,36,36,-,1,13,8,-,7,-,2,27,45,-,1,41,64,39,38,42,26,41,64,41,64,29,28,50,36,-,1,25,8,-,7,-,2,36,45,-,1
Dr. A. Pantoja Comm. Sch. of Acad. Excel. at #77,Buffalo,PK - 8,"750 West Ave., Buffalo, NY 14213",474,249,225,2,170,131,116,42,13,180,95,438,24,400,11,92,2,49,6,18,0,31,4,24,2,49,2,44,0,5,0,0,0,16,0,13,7,15,-,4,-,1,0,49,0,18,0,31,0,24,0,49,0,44,0,5,0,0,0,16,0,13,0,15,-,4,-,1
Dr. C. R. Drew Science Magnet #90,Buffalo,PK - 2,"50 A St., Buffalo, NY 14211",273,151,122,1,165,26,12,47,22,14,104,258,21,246,9,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dr. George Blackman ECC,Buffalo,PK - 4,"2358 Main St., Buffalo, NY 14214",433,221,212,3,330,29,5,49,17,-,106,368,23,324,27,92,12,76,9,35,15,41,12,76,12,76,13,61,7,15,0,0,11,65,-,3,-,1,-,7,0,0,20,75,24,34,17,41,20,75,20,75,20,60,20,15,0,0,20,65,-,3,-,1,-,6,0,0
Dr. L. T. Wright Sch. of Excel. ,Buffalo,PK - 8,"106 Appenheimer St., Buffalo, NY 14214",703,323,380,1,649,27,0,18,8,-,121,623,24,555,51,92,3,69,5,38,0,31,3,69,3,69,-,66,-,3,0,0,-,67,0,0,0,0,-,1,-,1,1,68,3,38,0,30,1,68,1,68,-,65,-,3,0,0,-,66,0,0,0,0,-,1,-,1
Dr. MLKJ Multicultural Institute,Buffalo,PK - 8,"487 High St., Buffalo, NY 14211",618,301,317,4,576,20,2,8,8,5,153,588,20,540,17,92,6,71,8,38,3,33,6,71,6,71,-,69,-,2,0,0,5,63,-,4,0,0,-,3,-,1,3,70,3,37,3,33,3,70,3,70,-,68,-,2,0,0,3,62,-,4,0,0,-,3,-,1
Frank A. Sedita School #30,Buffalo,PK - 8,"21 Lowell Pl., Buffalo, NY 14213",728,377,351,6,124,513,34,39,12,278,138,702,25,679,7,91,10,69,17,36,3,33,16,43,10,69,-,67,-,2,0,0,0,7,10,1,-,4,-,2,20,5,8,72,5,37,11,35,13,40,8,72,-,68,-,4,0,0,0,8,6,53,-,4,-,2,20,5
Frederick Olmstead #64 at #78,Buffalo,PK - 4,"874 Amherst St., Buffalo, NY 14216",490,242,248,2,109,81,8,268,22,32,61,174,26,156,38,95,46,102,52,56,39,46,47,97,46,102,37,27,49,75,0,0,45,29,-,11,-,2,48,58,-,2,57,103,51,57,65,46,59,98,57,103,43,28,63,75,0,0,55,29,-,12,-,2,64,58,-,2
Grabiarz-Campus School #79,Buffalo,PK - 8,"225 Lawn Ave., Buffalo, NY 14207",508,251,257,10,214,117,8,136,23,-,135,475,23,447,26,91,27,62,30,30,25,32,27,62,27,62,27,55,29,7,0,0,18,22,19,16,-,2,41,17,-,5,47,62,53,30,41,32,47,62,47,62,49,55,29,7,0,0,55,22,38,16,-,2,47,17,-,5
Harriet Ross Tubman Academy,Buffalo,PK - 8,"212 Stanton St., Buffalo, NY 14212",450,233,217,2,372,21,2,37,16,-,124,424,23,398,7,90,10,41,11,18,9,23,10,41,10,41,-,37,-,4,0,0,9,32,-,1,0,0,-,7,-,1,2,42,6,18,0,24,2,42,2,42,-,38,-,4,0,0,0,32,-,1,0,0,-,8,-,1
