ID,Item Type,Unavailable?,Status(es),Additional Image,Attachment,Categories,Condition,Daily Late Fee,Description,Image,Keywords,Name,Price to Purchase,Purchased?,Replacement Cost,Serial Number,Source / Supplier
1034,Tools,,,,,,4,$1.00,"The Ryobi Detail Sander sands, scrapes, buffs, cleans, polishes and removes rust from a wide variety of materials. The sander features a compact, lightweight ergonomic design for comfortable use, and the head's oscillating action enables the sander to easily reach tight spots, nooks and corners.",/files/images/org/10/attribute_image1371876616025607350.jpg;/files/images/org/10/attribute_image1371876616025607350.jpg;/files/images/org/10/attribute_thumbnail596942065680707905.jpg,"sander, finishing sander, detail",Ryobi Detail Sander,,Y,,,Home Depot
1035,Sawzall,,,,,,3,$1,,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"saw, sawzall, reciprocating saw",Ryobi 18-Volt Cordless Sawzall,,N,,,Donation
1036,Wet-Dry Vac,,,,,,3,$1,,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"vacuum, hand vac",Ryobi 18-Volt Cordless Dry Hand Vac,,N,,,Donation
1037,Power Drills,,,,,,3,$1,,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"drill, corded drill",Black & Decker 3/8 in. Corded Drill,,,,,Donation
1038,Circular Saw,,,,,,4,$1,Powerful 13 Amp Motor - 4600 RPM; 2.5 HP Built-in laser guide - For accurate cutting Grip-Right Handle - Offers optimal comfort and control Anti-Snag Lower Guard Design - Reduces snags when making narrow cut-offs Spindle Lock - Secures spindle for easy blade change Rear view depth adjustment - Quickly assures desired cut depth,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"saw, circular saw",Skilsaw Corded Circular Saw with Laser Guide,,N,,,Donation
1039,Cordless Circular Saw,,,,,,4,$1.00,5-12 inch 12v cordless circular saw,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"saw, circular saw, cordless",Ryobi 5 1/2 in. Cordless Circular Saw,,Y,,,Donation
1040,Circular Saw,,,,,,3,$1,"7 1/4"" blade, 5300RPM, adjustable blade guard",/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"saw, circular saw",Black & Decker Corded Circular Saw,,N,,,Donation
1041,Tools,,,,,"83,88",5,$1.00,"The Ryobi 10 inch Portable Table Saw is the top unit in its class. This saw is perfect for both the contractor and the homeowner. The Portable Table Saw comes fully loaded with all of the latest features. Whether you are framing a new home or building a wood shed, the RYOBI 10 inch Portable Table Saw is the most convenient table saw on the market.",/files/images/attribute_image427250679118743236.jpg;/files/images/attribute_image427250679118743236.jpg;/files/images/attribute_thumbnail6468526296520947540.jpg,"saw, table saw, corded, corded saw, Ryobi","Ryobi 10"" Table Saw",,,,,
1042,Staple Gun,,,,,"83,85,88",4,$1.00,Fires 1/4-inch thru 9/16-inch heavy duty Arrow T50 staples and brad nails up to 5/8-inch,/files/images/attribute_image4757486068530337648.jpg;/files/images/attribute_image4757486068530337648.jpg;/files/images/attribute_thumbnail701528238337624078.jpg,"Staple gun, nail gun, gun, corded, electric",Powershot Pro Electric Nail Staple Gun,,,,,
1043,Tools,TRUE,Disabled,,,,5,,"Heavy Duty Industrial Heat Gun, Model 775, 750 Degrees F Temperature, 5700 BTUs, 14 A, Cast Magnesium Housing For Durability At Minimal Weight &amp; Good Heat Dissipation, Permanent-Sealed Bearing, Long-Life Motor &amp; Replaceable Heat Element, Use To Strip Paint, Loosen Rusted Parts, Thaw Frozen Pipes, Shape Plastics &amp; Many Other Shop, Home &amp; Automotive Uses, 3-Wire Electrical Cord",,"heat gun, corded, electric, soldering gun, welding, soldering",Wagner Spray Tech Heat Gun,,,,,
1044,Tools,,,,,,5,$1,,,"power drill, cordless, drill",Black and Decker 18 Volt Cordless 3/8 in. drill,,,,,
1045,Tools,,,,,,5,$1,"With manual-push operation, a loop-style handle and a super-soft foam grip for comfort, the Scotts 20 in. Classic Reel Mower offers a large mowing path and a 1 - 3 in. adjustable cutting height to provide performance flexibility. The mower features 5 blades and a dual-wheel tracking system for optimal maneuverability.",,"lawn mower, cordless mower, push mower",Scott's 20in. Reel Push Mower,,,,,
1046,Tools,,,,,,5,$1,,,"floor pump, cordless, air pump,",Giant Control Tower 2 Floor Pump,,,,,
1047,Tools,,,,,,5,$1,"The Corona Clipper professional 12-foot compound action tree pruner features a high-strength zinc-alloy pruning head and a fully heat-treated, high carbon Teflon coated steel blade. Sporting a large cutting capacity and a heavy duty chain-drive compound action pulley system that triples your cutting power, this tree pruner is an ideal choice for personal or professional use. The unit also features an exclusive powerglide rope pull system and curved 13-inch conventional saw that maximizes pruning versatility. Other features include a comfortable 24-inch foam grip and a lightweight telescoping fiberglass pole that can adjust from 7-feet to 12-feet. The pole also features a twist-lock adjustment for quick and safe pole adjustment.",,"tree lopper, cordless, tree pruner",12 foot Corona Compound Action Tree Lopper,,,,,
1048,Tools,,,,,,3,$1,,,"tree lopper, cordless, tree pruner",Fiskars Tree Lopper,,,,,
1049,Tools,,,,,,4,$1,,,"String trimmer, Electric, Corded, weed whacker, trimmer, string",Toro Electric String Trimmer,,,,,
1050,Tools,,,,,,53,$1,,,"Power washer, pressure washer, electric,",1400 psi Electric Weekender Power Washer,,,,,
1051,Tools,,,,,,5,$1,,,"Scroll saw, single speed, electric","Craftsman 16 in. Eelectric, Single Speed Scroll Saw",,,,,
1052,Paint Sprayer,,,,,,5,$1,"The Wagner EZ tilt power painter plus features Wagner's exclusive EZ Tilt flexible suction tube. The EZ Tilt suction tube stays in the paint even when the spray gun is turned up, down or sideways allowing for maximum mobility and versatility. The Power Painter Plus also features Wagners Optimus dual tip, which uses a dual orifice to create a wider core spray pattern, less overspray, and superior coverage. With a twist lock 1 quart cup, filling and refilling the Power painter plus has never been easier. The Power painter plus sprays stains, sealers, oil paints, and latex paint.",/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"Spray paint, power painter, corded, electric",6.6 GPH Wagner Power Painter Plus,,,,,
1053,Paint Sprayer,,,,,,5,$1,"The Wagner SprayTECH ProCoat Airless Paint Sprayer features a 1/2 HP motor that can produce a flow of up to 0.24 GPM, which will support a .015 in. paint spray tip. It also generates maximum operating pressure of up to 2,800 PSI for powerful spraying. This sprayer comes with a 25 ft. x 1/4 in. airless hose, but can accommodate a hose of up to 50 ft. in length. The suction tube allows for the use of either a 1- or 5-Gal. paint container, and the unit has an integrated handle for easy transport.",/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"paint sprayer, airless, corded, electric",Wagner ProCoat Airless Paint Sprayer,,,,,
1054,Tools,,,,,,5,$1,"The 705 Steamer is a safe, chemical-free method to remove wallpaper. The steamer removes all types of wallpaper, multiple layers of wallpaper and even wallpaper that has been painted-over. The steamer uses simple tap water for operation and for clean-up. When compared to chemical strippers, the 705 steamer can be used again and again, making it extremely cost-effective.",,"power steamer, electric, corded, wallpaper remover",Wagner Wallpaper Remover Power Steamer,,,,,
1055,Tools,,,,,,5,$1,,,"power steamer, electric,corded, wallpaper remover",Hoover Power Steamer,,,,,
1056,Tools,,,,,,4,$1,,,"dolly, moving,",Milwaukee 600 pound dolly,,,,,
1057,Tools,,,,,,3,$1,,,"seeder, spreader, salter",Scotts Seeder,,,,,
1058,Tools,,,,,,3,$1,,,"spreader, salter, seeder",Imperial Mark III Seeder,,,,,
1059,Tools,,,,,,4,$1,,,"wheelbarrow, wheel tool",Yellow Wheelbarrow,,,,,
1060,Tools,,,,,,3,$1,,,"ladder, metal, step ladder, painter's ladder, shelf",5' Metal Step Ladder,,N,,,Donation
1061,Tools,,,,,,3,$1,,,"Ladder, wooden ladder, step ladder",8' 225 lb. Weight Capacity Wooden Step Ladder,,,,,
1062,Tools,,,,,,5,$1,,,"Rake, wooden, leaf rake",Wooden Leaf Rake,,,,,
1063,Tools,,,,,,5,$1,,,"Rake, wooden, leaf rake",Wooden Leaf Rake,,,,,
1064,Tools,,,,,,5,$1,,,"Rake, wooden, leaf rake",Wooden Leaf Rake,,,,,
1065,Tools,,,,,,5,$1,,,"Rake, expansion rake, metal",Exapnsion Rake,,,,,
1066,Tools,,,,,,4,$1.00,,/files/images/attribute_image4631990788937515321.jpg;/files/images/attribute_image4631990788937515321.jpg;/files/images/attribute_thumbnail6034983710414190141.jpg,"Rake, garden rake, metal",Falcon Metal Garden Rake,,,,,
1067,Tools,,,,,,4,$1,,,"Rake, garden rake, metal",Falcon Metal Garden Rake,,,,,
1068,Tools,,,,,,5,$1,,,"Rake, garden rake, metal",Red handle Garden Rake,,,,,
1069,Tools,,,,,,5,$1,,,"Rake, garden rake, metal",True Steel Metal Garden Rake,,,,,
1070,Tools,,,,,,5,$1,,,"Rake, garden rake, metal",Professionals Choice Metal Garden Rake,,,,,
1071,Tools,,,,,,5,$1.00,,/files/images/org/10/attribute_image4161658872940823424.jpg;/files/images/org/10/attribute_image4161658872940823424.jpg;/files/images/org/10/attribute_thumbnail4437746721098781289.jpg,"Rake, metal, hand rake",Orange Handle Hand Rake,,,,,
1072,Tools,,,,,,4,$1,,,"Rake, metal, hand rake",Blue Handle Hand Rake,,,,,
1073,Tools,,,,,,5,$1,,,"Rake, metal, hand rake",Black Head Hand Rake,,,,,
1074,Tools,,,/files/images/attribute_image_attachment5117103097587623071.jpg,,90,5,$1.00,,/files/images/attribute_image5153944922754440575.jpg;/files/images/attribute_image5153944922754440575.jpg;/files/images/attribute_thumbnail3443900231943679127.jpg,"Broom, push broom",Yellow Quickie Push Broom,,,,,
1075,Tools,,,,,90,5,$1.00,,/files/images/attribute_image1029110481566963548.jpg;/files/images/attribute_image1029110481566963548.jpg;/files/images/attribute_thumbnail1700822314802278746.jpg,"Broom, push broom",Yellow Quickie Push Broom,,,,,
1076,Tools,,,,,,4,$1.00,,/files/images/attribute_image7258476875297735061.jpg;/files/images/attribute_image7258476875297735061.jpg;/files/images/attribute_thumbnail1949275381849390617.jpg,"Broom, push broom",Blue Push Broom,,,,,
1077,Tools,,,,,,4,$1.00,,/files/images/attribute_image1207535450935666647.jpg;/files/images/attribute_image1207535450935666647.jpg;/files/images/attribute_thumbnail2845822059857174039.jpg,"Broom, push broom",Blue Push Broom,,,,,
1078,Tools,,,,,,4,$1.00,,/files/images/attribute_image1668953467230988570.jpg;/files/images/attribute_image1668953467230988570.jpg;/files/images/attribute_thumbnail3200632694285848111.jpg,"Broom, push broom",Black Push Broom,,,,,
1079,Tools,,,,,90,3,$1.00,,/files/images/attribute_image4961375552614344362.jpg;/files/images/attribute_image4961375552614344362.jpg;/files/images/attribute_thumbnail5378868156118136869.jpg,"Broom, push broom, wooden",Wooden Push Broom,,,,,
1080,Tools,,,,,90,3,$1.00,,/files/images/attribute_image8162018283212355341.jpg;/files/images/attribute_image8162018283212355341.jpg;/files/images/attribute_thumbnail1018091850291123773.jpg,"Broom, push broom, wooden",Wooden Push Broom,,,,,
1081,Tools,,,,,,4,$1.00,,/files/images/attribute_image3747808205002140036.jpg;/files/images/attribute_image3747808205002140036.jpg;/files/images/attribute_thumbnail5448892262090892234.jpg,"trimmer, hand trimmer, scissor, shears",Fiskars 1ft scissor blade Shears,,,,,
1082,Tools,,,,,,52,$1.00,,/files/images/attribute_image9110078926477963203.jpg;/files/images/attribute_image9110078926477963203.jpg;/files/images/attribute_thumbnail7010506698538268948.jpg,"Lopper, extendable,",Corona Compound Action Bypass Extendable Lopper,,,,,
1083,Tools,,,,,,3,$1.00,,/files/images/attribute_image2810700215674669050.jpg;/files/images/attribute_image2810700215674669050.jpg;/files/images/attribute_thumbnail8900074654595061816.jpg,"Lopper, wooden",Wooden Handle Lopper,,,,,
1084,Pruner,,,,,,3,$1.00,,/files/images/attribute_image6554938736275340942.jpg;/files/images/attribute_image6554938736275340942.jpg;/files/images/attribute_thumbnail6284312540543915296.jpg,"Pruner, hand tool",Red Handle Pruner,,,,,
1085,Pruner,,,,,,3,$1,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"Pruner, hand tool",Blue Handle Pruner,,,,,
1086,Pruner,,,,,,5,$1.00,,/files/images/attribute_image1430083559949194606.jpg;/files/images/attribute_image1430083559949194606.jpg;/files/images/attribute_thumbnail2367100995784365304.jpg,"Pruner, hand tool",Fiskars Black Blade Pruner,,,,,
1087,Pruner,,,,,,4,$1.00,,/files/images/attribute_image2225872491504938085.jpg;/files/images/attribute_image2225872491504938085.jpg;/files/images/attribute_thumbnail440142362065700750.jpg,"Pruner, hand tool",Fiskars Black Handle Pruner,,,,,
1088,Tools,,,,,,4,$1,,,"Tiller, hand tiller, steel",Hound Dog Hand Steel Tiller,,,,,
1089,Post Hole Digger,,,,,,4,$1,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"Post hole digger, manual,",Manual Post Hole Digger,,,,,
1090,Tools,,,,,,5,$1,,,"Shovel, snow shovel","18"" Plastic Snow Shovel",,,,,
1091,Tools,,,,,,4,$1,,,Broom,Yellow Broom,,,,,
1092,Tools,,,,,,4,$1,,,Broom,Black Broom,,,,,
1093,Tools,,,,,,3,$1,,,Broom,Blue Broom,,,,,
1094,Tools,,,,,,5,$1.00,,/files/images/attribute_image212977609045116491.jpg;/files/images/attribute_image212977609045116491.jpg;/files/images/attribute_thumbnail9195741775785059922.jpg,"Post hole, driver, auger",Red Post Driver,,,,,
1095,Tools,,,,,,5,$1.00,,/files/images/attribute_image6857178705213807177.jpg;/files/images/attribute_image6857178705213807177.jpg;/files/images/attribute_thumbnail5810019638094049741.jpg,"Post hole, driver, auger",Red Post Driver,,,,,
1096,Coping Saw,,,,,"83,85,88",4,$1.00,,/files/images/attribute_image6542258239045406272.jpg;/files/images/attribute_image6542258239045406272.jpg;/files/images/attribute_thumbnail6176456767077953654.jpg,"saw, coping saw, hand saw",5 in. depth Blue Coping Saw,,,,,
1097,Coping Saw,,,,,"83,85,88",3,$1.00,,/files/images/attribute_image3691242582505969907.jpg;/files/images/attribute_image3691242582505969907.jpg;/files/images/attribute_thumbnail3558867776029720507.jpg,"saw, coping saw, hand saw",5 in. depth Tan Coping Saw,,,,,
1098,Coping Saw,,,,,"83,85,88",3,$1.00,,/files/images/attribute_image1039153818624779221.jpg;/files/images/attribute_image1039153818624779221.jpg;/files/images/attribute_thumbnail4775454146159565008.jpg,"saw, coping saw, hand saw",5 in. depth Brown Coping Saw,,,,,
1099,Saws,,,,,,3,$1.00,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"Saw, hand saw, backsaw",15 in. Gray Walboard Hand Saw,,,,,
1100,Saws,,,,,,2,$1.00,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"Saw, hand saw, backsaw",26 in. Warranted Superior Wooden Hand Saw,,,,,
1101,Saws,,,,,,3,$1.00,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"Saw, hand saw, backsaw",26 in. Wooden Hand Saw,,,,,
1102,Saws,,,,,,2,$1.00,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"Saw, hand saw, backsaw",24 in. Warranted Superior Wooden Hand Saw,,,,,
1103,Saws,,,,,,2,$1.00,,/files/images/attribute_image4445484198476390133.jpg;/files/images/attribute_image4445484198476390133.jpg;/files/images/attribute_thumbnail6124601916195202458.jpg,"Saw, hand saw, backsaw",26 in. Warranted Superior Wooden Hand Saw,,,,,
1104,Saws,,,,,,3,$1.00,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"Saw, hand saw, backsaw",26 in. Challenger 8 Point Hand Saw,,,,,
1105,Saws,,,,,,3,$1.00,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"Saw, hand saw, backsaw",20 in. Stanley 10 Point Hand Saw,,,,,
1106,Saws,,,,,,3,$1.00,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"Saw, hand saw, backsaw",22 in. Black Hand Saw,,,,,
1107,Saws,,,,,,4,$1.00,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"Saw, hand saw, backsaw",26 in. Wooden Hand Saw,,,,,
1108,Saws,,,,,,4,$1.00,,/files/images/attribute_image175687398004373185.jpg;/files/images/attribute_image175687398004373185.jpg;/files/images/attribute_thumbnail538171076818845903.jpg,"Saw, hand saw, backsaw",26 in. Wooden Hand Saw,,,,,
1109,Caulk Guns,,,,,,4,$1.00,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"caulk, gun",blue,,,,,
1110,Caulk Guns,,,,,,4,$1.00,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"caulk, gun",blue,,,,,
1111,Caulk Guns,,,,,,2,$1.00,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"caulk, gun",blue,,,,,
1112,Caulk Guns,,,,,,4,$1.00,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"caulk, gun",pink,,,,,
1113,Tools,,,,,,2,,,,"caulk, gun",green,,,,,
1114,Tools,,,,,,2,,,,"caulk, gun",grey,,,,,
1115,Weeders,,,,,,5,$1.00,"The Ames deluxe weed cutter offers a cost effective way of clearing tall grass and other vegetation in overgrown areas. Its double-edge action provides increased efficiency by cutting on both the forward and return strokes. This is an ideal tool to clear ditches, forests, and fields.",/files/images/attribute_image4073808248370851066.jpg;/files/images/attribute_image4073808248370851066.jpg;/files/images/attribute_thumbnail8133651129205136700.jpg,"weeders, trimmers",Ames Double Blade Weed Cutter,,,,,
1116,Weeders,,,,,,5,$1.00,"The Ames deluxe weed cutter offers a cost effective way of clearing tall grass and other vegetation in overgrown areas. Its double-edge action provides increased efficiency by cutting on both the forward and return strokes. This is an ideal tool to clear ditches, forests, and fields.",/files/images/attribute_image5242767906704615774.jpg;/files/images/attribute_image5242767906704615774.jpg;/files/images/attribute_thumbnail4358988325815568321.jpg,"weeder, trimmers",Ames Double Blade Weed Cutter,,,,,
1117,Air / Pneumatic Tools,,,,,,5,$1,"The Ryobi 2 Brad Nailer is a professional quality home improvement tool. This nailer has a side-loading magazine with a low nail indicator. Its an easy tool to operate, with its tool-free adjustable exhaust and tool-free depth of drive adjustment. With the nailers non-slip rubber grip ergonomic handle and weighing less than three pounds, it is comfortable to hold. It also includes an internal piston catch for consistent driving power, and tool less jam release that makes nail clearing simple and easy. This tool is great for both interior and exterior finish and trim work including cabinetry, molding, staircases, and crafts.",/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"air / pneumatic tools, nail guns, nailers",Ryobi 2 in. 18 Gauge Brad Nailer,,,,,
1118,Air / Pneumatic Tools,,,,,"83,85,88",5,$1.00,"The Ryobi Straight Finish Nailer is designed for both interior and exterior finish carpentry. It's ideal for home improvement projects that involve door jams, window trim, crown molding, baseboards, cabinetry and shelves. The No-Marring nosepiece keeps the work surface clean of tool marks while the tool-free depth-of-drive adjustment provides accurate depth control improving the quality of finish work. This Straight Finish Nailer weighs only 4 pounds and has a rubber grip handle for increased handling comfort.",/files/images/attribute_image2742194799832741430.jpg;/files/images/attribute_image2742194799832741430.jpg;/files/images/attribute_thumbnail985087318064025917.jpg,"air / pneumatic tools, nail guns, nailers",Ryobi Pneumatic Straight Finish Nailer,,,,,
1119,Air / Pneumatic Tools,,,,,"83,85,88",3,$1.00,,/files/images/attribute_image345581653557162179.jpg;/files/images/attribute_image345581653557162179.jpg;/files/images/attribute_thumbnail5656818916584547711.jpg,"air / pneumatic tools, nail guns, nailers",Bostitch Pneumatic Nailer,,,,,
1120,Air / Pneumatic Tools,,,,,"83,85,88",3,$1.00,"This air nailer can drive roofing nails fast and hard while its lightweight design prevents user fatigue. The nail gun features an adjustable roofing gauge for accurate tile spotting and steel contact safety with dual carbide inserts for less wear and tear. This air nailer is perfect for roofing, vinyl siding, upholstery panels, fiber cement siding and more!",/files/images/attribute_image1808303145891290556.jpg;/files/images/attribute_image1808303145891290556.jpg;/files/images/attribute_thumbnail2171343795811823516.jpg,"air / pneumatic tools, nail guns, nailers","Central Pneumatic Roofing Nailer, 11 Gauge",,,,,
1121,Air / Pneumatic Tools,,,,,"83,85,88",2,$1.00,,/files/images/attribute_image5947969170506286717.jpg;/files/images/attribute_image5947969170506286717.jpg;/files/images/attribute_thumbnail6217565828342788915.jpg,"air / pneumatic tools, staple guns, staplers",Duo-Fast Pneumatic Stapler,,,,,
1122,Jacks,,,,,,3,$1,,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"jacks, floor jacks",Larin 2 1/2 Ton Floor Jack,,,,,
1123,Jacks,,,,,,3,$1,,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"jacks, floor jacks",Larin 2 Ton Floor Jack,,,,,
1124,Jacks,,,,,,3,$1,,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"jacks, floor jacks",Titan Floor Jack,,,,,
1125,Flashlights,,,,,,4,$1,,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,flashlights,"Eveready Flashlight, Blue, Medium-Sized",,,,,
1126,Sanders,,,,,,4,$1,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"sanders, hand sanders",Task Force 3 1/8 in. x 9 in. Finishing Hand Sander,,,,,
1127,Brushes and Rollers,,,,,,5,$1,"The brush and roller cleaner uses spinning action to thoroughly clean your paint applicators. After brush or roller has been rinsed with warm water or mineral spirits, simply clamp in place and use spinning action to clean the applicator. This is a quick and easy way to prolong the life of your paint applicators.",/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"brushes and rollers, cleaners",Project Select Brush and Roller Cleaner,,,,,
1128,Tools,,,,,,5,$1,"Introducing the new Heavy-Duty Steel Bar Clamps. These new clamps are designed with bigger, better and stronger features than the competition. Used for commercial or do-it-yourself projects.",,"clamps and brackets, clamps","Jorgensen Steel Bar Clamp, 36 in.",,,,,
1129,Tools,,,,,,5,$1,"Introducing the new Heavy-Duty Steel Bar Clamps. These new clamps are designed with bigger, better and stronger features than the competition. Used for commercial or do-it-yourself projects.",,"clamps and brackets, clamps","Jorgensen Steel Bar Clamp, 36 in.",,,,,
1130,Crimpers,,,,,,5,$1,The SharkBite 1/2 in. and 3/4 in. Dual PEX Crimp Tool can help you crimp 2 sizes with 1 tool. This tool is ideal for use with PEX tubing and copper crimp rings (tubing and rings not included).,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"crimpers, crimp tools",SharkBite 1/2 in. & 3/4 in. Crimp Tool,,,,,
1131,Tools,,,,,,5,$1,"The Big Red 2-Ton Come-Along With 2 Hooks is constructed of heavy-duty steel and features powerful hand-crank ratchet action and an automatic notch-at-a-time let-down release. The cable puller is great for use in workshops, on farms and ranches, for construction, for home projects and for automotive use.",,"cable tools, cable pullers",Big Red 2 Ton Cable Puller with 2 Hooks,,,,,
1132,Flashlights,,,,,,3,$1,,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,flashlights,"Rayovac Flashlight, Yellow, Medium-Sized",,,,,
1133,Flashlights,,,,,,3,$1,,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,flashlights,"Energizer Waterproof Flashlight, Green, Small-Sized",,,,,
1134,Flashlights,,,,,,3,$1,,/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,flashlights,"Garrity Flashlight, Red, Medium-Sized",,,,,
1135,Flashlights,,,,,,5,$1,"The Hitachi UB18D 14.4 to 18-Volt Cordless Flashlight is ideal for machine shops, camping or heavy-duty projects at home. This flashlight is 14.4.-Volt but can reach 18-Volt peak which directly corresponds to the power output of the cordless tool. The adjustable head makes it easy to position properly for hard-to-see spots.",/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_image1628815376534607327.jpg;/files/images/org/10/attribute_thumbnail452284742319208741.jpg,"flashlights, cordless flashlights",Hitachi 14.4 - 18 Volt Cordless Flashlight,,,,,
1136,Tape Measures,,,,,,5,$1,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"measuring tape, tape measure",6ft Measuring Tape,,N,,,Donation
1137,Tape Measures,,,,,,3,$1,,/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_image7575818937641029915.jpg;/files/images/org/10/attribute_thumbnail5101171873786243577.jpg,"measuring tape, tape measure",Orange Measuring Tape,,N,,,Donation
1138,Tape Measures,,,,,,4,$1.00,,/files/images/attribute_image5871681716120322663.jpg;/files/images/attribute_image5871681716120322663.jpg;/files/images/attribute_thumbnail9076186016698614982.jpg,"measuring tape, tape measure",Cen-Tech 12ft Measuring Tape,,Y,,,Donation
