address,condition,occupancy,comments,Occupied
"153 Minnesota Avenue, Buffalo, NY",3,1,,1
"173 Minnesota Avenue, Buffalo, NY",2,1,,1
"166 LaSalle Ave, Buffalo, NY",1,1,,1
"172 LaSalle Ave, Buffalo, NY",2,1,,1
"208 Lisbon Ave, Buffalo, NY",1,1,,1
"201 Lisbon Ave, Buffalo, NY",2,1,,1
"235 Lisbon Ave, Buffalo, NY",2,1,,1
"259 Lisbon Ave, Buffalo, NY",2,1,,1
"216 Minnesota Ave, Buffalo, NY",3,1,,1
"258 Minnesota Ave, Buffalo, NY",2,1,,1
"264 Minnesota Ave, Buffalo, NY",1,1,,1
"306 Minnesota Ave, Buffalo, NY",1,1,,1
"231 Minnesota Ave, Buffalo, NY",2,1,,1
"245 Minnesota Ave, Buffalo, NY",2,1,,1
"253 Minnesota Ave, Buffalo, NY",2,1,,1
"36 Minnesota Ave, Buffalo, NY",1,1,,1
"37 Minnesota Ave, Buffalo, NY",1,1,,1
"92 LaSalle Avenue, Buffalo, NY",1,1,,1
"98 LaSalle Avenue, Buffalo, NY",1,1,,1
"110 LaSalle Avenue, Buffalo, NY",2,1,,1
"162 Minnesota Avenue, Buffalo, NY",2,1,,1
"164 Minnesota Avenue, Buffalo, NY",1,1,,1
"33 Cordova Ave, Buffalo, NY",1,1,,1
"157 Minnesota Avenue, Buffalo, NY",2,1,,1
"197 Minnesota Avenue, Buffalo, NY",2,1,,1
"186 LaSalle Ave, Buffalo, NY",1,1,,1
"188 LaSalle Ave, Buffalo, NY",1,1,,1
"212 LaSalle Ave, Buffalo, NY",1,1,,1
"181 LaSalle Ave, Buffalo, NY",2,1,,1
"221 LaSalle Ave, Buffalo, NY",2,1,,1
"222 Lisbon Ave, Buffalo, NY",1,1,,1
"286 Lisbon Ave, Buffalo, NY",2,1,,1
"231 Lisbon Ave, Buffalo, NY",2,1,,1
"263 Lisbon Ave, Buffalo, NY",1,1,,1
"269 Lisbon Ave, Buffalo, NY",2,1,,1
"273 Lisbon Ave, Buffalo, NY",2,1,,1
"278 Minnesota Ave, Buffalo, NY",1,1,,1
"282 Minnesota Ave, Buffalo, NY",1,1,,1
"223 Minnesota Ave, Buffalo, NY",2,1,,1
"227 Minnesota Ave, Buffalo, NY",2,1,,1
"267 Minnesota Ave, Buffalo, NY",1,1,,1
"54 Minnesota Ave, Buffalo, NY",3,1,,1
"54 Minnesota Ave, Buffalo, NY",3,1,,1
"82 Minnesota Ave, Buffalo, NY",1,1,,1
"96 Minnesota Ave, Buffalo, NY",2,1,,1
"57 Minnesota Ave, Buffalo, NY",3,1,,1
"61 Minnesota Ave, Buffalo, NY",3,1,,1
"71 Minnesota Ave, Buffalo, NY",3,1,,1
"85 Minnesota Ave, Buffalo, NY",2,1,,1
"100 LaSalle Avenue, Buffalo, NY",1,1,,1
"45 LaSalle Avenue, Buffalo, NY",2,1,,1
"89 LaSalle Avenue, Buffalo, NY",3,2,,0
"154 Minnesota Avenue, Buffalo, NY",2,1,,1
"182 Minnesota Avenue, Buffalo, NY",1,1,,1
"117 Minnesota Avenue, Buffalo, NY",1,1,,1
"177 Minnesota Avenue, Buffalo, NY",1,1,,1
"181 Minnesota Avenue, Buffalo, NY",1,1,,1
"185 Minnesota Avenue, Buffalo, NY",1,1,,1
"201 Minnesota Avenue, Buffalo, NY",1,1,,1
"192 LaSalle Ave, Buffalo, NY",1,1,,1
"209 LaSalle Ave, Buffalo, NY",1,1,,1
"217 LaSalle Ave, Buffalo, NY",2,1,,1
"196 Lisbon Ave, Buffalo, NY",2,1,,1
"240 Lisbon Ave, Buffalo, NY",2,1,,1
"256 Lisbon Ave, Buffalo, NY",2,1,,1
"270 Lisbon Ave, Buffalo, NY",2,1,,1
"280 Lisbon Ave, Buffalo, NY",1,1,,1
"290 Lisbon Ave, Buffalo, NY",2,1,,1
"197 Lisbon Ave, Buffalo, NY",1,1,,1
"211 Lisbon Ave, Buffalo, NY",2,1,,1
"286 Minnesota Ave, Buffalo, NY",1,1,,1
"298 Minnesota Ave, Buffalo, NY",1,1,,1
"217 Minnesota Ave, Buffalo, NY",2,1,,1
"251 Minnesota Ave, Buffalo, NY",2,1,,1
"303 Minnesota Ave, Buffalo, NY",2,1,,1
"307 Minnesota Ave, Buffalo, NY",2,1,,1
"62 Minnesota Ave, Buffalo, NY",3,1,,1
"17 Minnesota Ave, Buffalo, NY",3,1,,1
"29 Minnesota Ave, Buffalo, NY",1,1,,1
"45 Minnesota Ave, Buffalo, NY",2,1,,1
"53 Minnesota Ave, Buffalo, NY",2,1,,1
"56 LaSalle Avenue, Buffalo, NY",2,1,,1
"80 LaSalle Avenue, Buffalo, NY",2,1,,1
"106 LaSalle Avenue, Buffalo, NY",2,1,,1
"194 Minnesota Avenue, Buffalo, NY",1,1,,1
"133 Minnesota Avenue, Buffalo, NY",2,1,,1
"151 Minnesota Avenue, Buffalo, NY",2,1,,1
"169 Minnesota Avenue, Buffalo, NY",3,1,,1
"154 LaSalle Ave, Buffalo, NY",2,1,,1
"180 LaSalle Ave, Buffalo, NY",3,1,,1
"196 LaSalle Ave, Buffalo, NY",2,1,,1
"200 LaSalle Ave, Buffalo, NY",2,1,,1
"210 Lisbon Ave, Buffalo, NY",2,1,,1
"252 Lisbon Ave, Buffalo, NY",2,1,,1
"266 Lisbon Ave, Buffalo, NY",2,1,,1
"282 Lisbon Ave, Buffalo, NY",2,1,,1
"225 Lisbon Ave, Buffalo, NY",1,1,,1
"245 Lisbon Ave, Buffalo, NY",2,1,,1
"265 Lisbon Ave, Buffalo, NY",3,2,,0
"310 Minnesota Ave, Buffalo, NY",2,1,,1
"263 Minnesota Ave, Buffalo, NY",2,1,,1
"279 Minnesota Ave, Buffalo, NY",2,1,,1
"299 Minnesota Ave, Buffalo, NY",2,1,,1
"70 Minnesota Ave, Buffalo, NY",2,1,,1
"25 Minnesota Ave, Buffalo, NY",1,1,,1
"73 Minnesota Ave, Buffalo, NY",2,1,,1
"77 Minnesota Ave, Buffalo, NY",1,1,,1
"36 LaSalle Avenue, Buffalo, NY",3,2,,0
"52 LaSalle Avenue, Buffalo, NY",3,1,,1
"57 LaSalle Avenue, Buffalo, NY",3,2,,0
"154 Minnesota Avenue, Buffalo, NY",2,1,,1
"200 Minnesota Avenue, Buffalo, NY",3,1,,1
"145 Minnesota Avenue, Buffalo, NY",2,1,,1
"189 Minnesota Avenue, Buffalo, NY",1,1,,1
"193 Minnesota Avenue, Buffalo, NY",1,1,,1
"224 LaSalle Ave, Buffalo, NY",2,1,,1
"205 LaSalle Ave, Buffalo, NY",1,1,,1
"250 Lisbon Ave, Buffalo, NY",2,1,,1
"262 Lisbon Ave, Buffalo, NY",2,1,,1
"276 Lisbon Ave, Buffalo, NY",2,1,,1
"205 Lisbon Ave, Buffalo, NY",1,1,,1
"241 Lisbon Ave, Buffalo, NY",1,1,,1
"277 Lisbon Ave, Buffalo, NY",2,1,,1
"230 Minnesota Ave, Buffalo, NY",1,1,,1
"294 Minnesota Ave, Buffalo, NY",1,1,,1
"294 Minnesota Ave, Buffalo, NY",1,1,,1
